Factories Act (Central Act),Directorate of Industrial Safety & Health (DISH); Factory Inspector,Unsafe working conditions; Accidents; Working hours; Health and safety violations; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
,,nan; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Act Name,Authority to Approach,Typical Complaints / Requests; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Prohibition of Ragging Act, 1997",Anti-Ragging Committee in colleges; University Anti-Ragging Cell; Police (in severe cases),Ragging incidents; Student harassment; Safety complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Admission in Professional Educational Institutions Act, 2006",Directorate of Technical Education (DOTE); University Admission Cell; College Admission Committee,Admission disputes; Seat allocation errors; Fee irregularities; Reservation issues; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Admission to Undergraduate Professional Courses on Preferential Basis to Students of Government Schools Act, 2021",Directorate of Technical Education; University Admission Cell; College Admission Committee,Eligibility disputes; Preferential quota issues; Admission rejection complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Enrollment in Professional Course Act,University Admission Office; Directorate of Higher Education; College Admission Committee,Enrollment errors; Seat allotment issues; Registration problems; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu University Laws (Amendment and Repeal) Act, 2011",University Registrar; Higher Education Department,Governance complaints; Affiliated college issues; Implementation of amendments; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Anna University Act, 2011",Anna University Registrar; Vice-Chancellor Office; Controller of Examinations,"Admission, examination, degree certificate, affiliated college disputes; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid"
"Anna University Act, 2013",Anna University Registrar; Vice-Chancellor Office; Controller of Examinations,"Same as above: academic, examination, affiliation, and administration complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid"
"Anna University Act, 2010",Anna University Registrar; Vice-Chancellor Office; College Principals,Administrative issues; Affiliation disputes; Academic concerns; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Madurai Kamaraj University Act, 1965",University Registrar; Vice-Chancellor Office; Controller of Examinations,Exam issues; Admission disputes; Degree certificate delays; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Teachers Education University Act, 2008",TNTEU Registrar; Vice-Chancellor; College Principals,Teacher education course issues; Admission disputes; Examination complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Annamalai University Act, 2013 (Amendments 2021)",University Registrar; Vice-Chancellor; Controller of Examinations,Academic complaints; Affiliation issues; Admission and examination disputes; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Tamil Nadu Open University Act,TNOU Registrar; Vice-Chancellor; Controller of Examinations,Admission complaints; Online course issues; Degree certificate delays; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Madras University Act, 1923",University Registrar; Vice-Chancellor; College Principals,Affiliation issues; Examination delays; Admission complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Anna University of Technology, Chennai Act, 2010",University Registrar; Vice-Chancellor; College Principals,Administrative issues; Affiliation disputes; Examination issues; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Mother Teresa Women’s University, Kodaikanal Act",University Registrar; Vice-Chancellor; College Principals,Academic complaints; Admission issues; Examination concerns; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Manonmaniam Sundaranar University Act, 1990",University Registrar; Vice-Chancellor; College Principals,Examination issues; Affiliation problems; Admission disputes; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Anna University of Technology, Tiruchirappalli Act, 2006",University Registrar; Vice-Chancellor; College Principals,Academic complaints; Examination delays; Affiliation disputes; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Anna University of Technology, Madurai Act, 2010",University Registrar; Vice-Chancellor; College Principals,Academic complaints; Affiliation issues; Admission and examination disputes; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Act Name,Authority to Approach,Typical Complaints / Requests; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Hill Area (Preservation of Trees) Act, 1955",District Forest Officer (DFO); Divisional Forest Officer; Tamil Nadu Forest Department,Illegal tree felling; Deforestation in hill areas; Tree preservation violations; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Rosewood Trees (Conservation) Act, 1994 / Rosewood Act, 1994",DFO; Divisional Forest Officer; Tamil Nadu Forest Department,Rosewood logging violations; Illegal trade of rosewood; Conservation issues; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Private Forests (Assumption of Management) Act, 1961",DFO; Revenue Department; District Collector,Unauthorized management of private forests; Disputes over forest land; Illegal logging; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
The Tamil Nadu Hill Areas (Preservation of Trees) Act,DFO; Divisional Forest Officer; District Collector,Hill area tree cutting; Encroachment in protected areas; Deforestation complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Preservation of Private Forest Act, 1949",DFO; Revenue Department; District Collector,Private forest preservation violations; Illegal clearing; Encroachment disputes; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Scheduled Tribes and Other Traditional Forest Dwellers Recognition of Forest Rights Act, 2006",Sub-Divisional Officer (SDO); DFO; Tribal Welfare Department,Recognition of forest land rights; Denial of land rights; Disputes over traditional usage; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Wild Life (Protection) Amendment Act, 2006",Tamil Nadu Wildlife Warden; Chief Wildlife Warden; Forest Department,Poaching; Illegal hunting; Wildlife trade violations; Protected species protection; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Forest Act, 1882 / TAMIL NADU FOREST ACT, 1882",DFO; Divisional Forest Officer; District Collector; Forest Department,Unauthorized logging; Encroachment; Illegal forest activities; Violations of forest rules; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Act Name,Authority to Approach,Typical Complaints / Requests; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Biological Diversity Act, 2002",National Biodiversity Authority (NBA); State Biodiversity Board (SBB); District Biodiversity Management Committee (DBMC),Unauthorized use of biological resources; Biopiracy; Conservation of biodiversity; Benefit-sharing violations; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Indian Forest Act, 1927",Divisional Forest Officer (DFO); Forest Range Officer; District Collector; Forest Department,Illegal logging; Encroachment; Forest land disputes; Violations of forest rules; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Wild Life (Protection) Act, 1972",Chief Wildlife Warden; Wildlife Warden; Forest Department; Wildlife Crime Control Bureau,Poaching; Illegal hunting; Illegal trade of wildlife products; Protection of endangered species; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
