Beedi & Cigar Workers (Conditions of Employment) Act,Labour Department; Beedi Worker Welfare Board,Exploitation of beedi workers; Low wages; No welfare benefits; Unsafe conditions,Sector-Specific Labour Laws
"Inter-State Migrant Workmen Act, 1979",Labour Department; Licensing Officer,No registration of migrant workers; Wage theft; Poor accommodation; Exploitation,Child & Vulnerable Labour
Payment of Wages Act (Central Act),Assistant Commissioner of Labour (ACL),Salary delays; Illegal deductions; Unpaid wages,Wages & Monetary Benefits
Building & Other Construction Workers (BOCW) Act,Tamil Nadu Construction Workers Welfare Board; Labour Inspector,Welfare board registration issues; Safety violations; Non-payment of wages,Employment & Service Conditions
"Employee’s Compensation Act, 1923",Commissioner for Employee’s Compensation,Injury compensation; Death compensation; Employer denying liability,Employment & Service Conditions
"Industrial Disputes Act, 1947",Labour Commissioner; Conciliation Officer; Labour Court,Illegal termination; Layoffs; Retrenchment; Settlement of industrial disputes,Industrial Relations
Factories Act (Central Act),Directorate of Industrial Safety & Health (DISH); Factory Inspector,Unsafe working conditions; Accidents; Working hours; Health and safety violations,Employment & Service Conditions
nan,,,Employment & Service Conditions
Act Name,Authority to Approach,Typical Complaints / Requests,Employment & Service Conditions
"Tamil Nadu Prohibition of Ragging Act, 1997",Anti-Ragging Committee in colleges; University Anti-Ragging Cell; Police (in severe cases),Ragging incidents; Student harassment; Safety complaints,Employment & Service Conditions
"Tamil Nadu Admission in Professional Educational Institutions Act, 2006",Directorate of Technical Education (DOTE); University Admission Cell; College Admission Committee,Admission disputes; Seat allocation errors; Fee irregularities; Reservation issues,Employment & Service Conditions
"Tamil Nadu Admission to Undergraduate Professional Courses on Preferential Basis to Students of Government Schools Act, 2021",Directorate of Technical Education; University Admission Cell; College Admission Committee,Eligibility disputes; Preferential quota issues; Admission rejection complaints,Employment & Service Conditions
Enrollment in Professional Course Act,University Admission Office; Directorate of Higher Education; College Admission Committee,Enrollment errors; Seat allotment issues; Registration problems,Employment & Service Conditions
"Tamil Nadu University Laws (Amendment and Repeal) Act, 2011",University Registrar; Higher Education Department,Governance complaints; Affiliated college issues; Implementation of amendments,Employment & Service Conditions
"Anna University Act, 2011",Anna University Registrar; Vice-Chancellor Office; Controller of Examinations,"Admission, examination, degree certificate, affiliated college disputes",Employment & Service Conditions
"Anna University Act, 2013",Anna University Registrar; Vice-Chancellor Office; Controller of Examinations,"Same as above: academic, examination, affiliation, and administration complaints",Employment & Service Conditions
"Anna University Act, 2010",Anna University Registrar; Vice-Chancellor Office; College Principals,Administrative issues; Affiliation disputes; Academic concerns,Employment & Service Conditions
"Madurai Kamaraj University Act, 1965",University Registrar; Vice-Chancellor Office; Controller of Examinations,Exam issues; Admission disputes; Degree certificate delays,Employment & Service Conditions
"Tamil Nadu Teachers Education University Act, 2008",TNTEU Registrar; Vice-Chancellor; College Principals,Teacher education course issues; Admission disputes; Examination complaints,Employment & Service Conditions
"Annamalai University Act, 2013 (Amendments 2021)",University Registrar; Vice-Chancellor; Controller of Examinations,Academic complaints; Affiliation issues; Admission and examination disputes,Employment & Service Conditions
Tamil Nadu Open University Act,TNOU Registrar; Vice-Chancellor; Controller of Examinations,Admission complaints; Online course issues; Degree certificate delays,Employment & Service Conditions
"Madras University Act, 1923",University Registrar; Vice-Chancellor; College Principals,Affiliation issues; Examination delays; Admission complaints,Employment & Service Conditions
"Anna University of Technology, Chennai Act, 2010",University Registrar; Vice-Chancellor; College Principals,Administrative issues; Affiliation disputes; Examination issues,Employment & Service Conditions
"Mother Teresa Women’s University, Kodaikanal Act",University Registrar; Vice-Chancellor; College Principals,Academic complaints; Admission issues; Examination concerns,Employment & Service Conditions
"Manonmaniam Sundaranar University Act, 1990",University Registrar; Vice-Chancellor; College Principals,Examination issues; Affiliation problems; Admission disputes,Employment & Service Conditions
"Anna University of Technology, Tiruchirappalli Act, 2006",University Registrar; Vice-Chancellor; College Principals,Academic complaints; Examination delays; Affiliation disputes,Employment & Service Conditions
"Anna University of Technology, Madurai Act, 2010",University Registrar; Vice-Chancellor; College Principals,Academic complaints; Affiliation issues; Admission and examination disputes,Employment & Service Conditions
Act Name,Authority to Approach,Typical Complaints / Requests,Employment & Service Conditions
"The Tamil Nadu Hill Area (Preservation of Trees) Act, 1955",District Forest Officer (DFO); Divisional Forest Officer; Tamil Nadu Forest Department,Illegal tree felling; Deforestation in hill areas; Tree preservation violations,Employment & Service Conditions
"The Tamil Nadu Rosewood Trees (Conservation) Act, 1994 / Rosewood Act, 1994",DFO; Divisional Forest Officer; Tamil Nadu Forest Department,Rosewood logging violations; Illegal trade of rosewood; Conservation issues,Employment & Service Conditions
"Tamil Nadu Private Forests (Assumption of Management) Act, 1961",DFO; Revenue Department; District Collector,Unauthorized management of private forests; Disputes over forest land; Illegal logging,Employment & Service Conditions
The Tamil Nadu Hill Areas (Preservation of Trees) Act,DFO; Divisional Forest Officer; District Collector,Hill area tree cutting; Encroachment in protected areas; Deforestation complaints,Employment & Service Conditions
"The Tamil Nadu Preservation of Private Forest Act, 1949",DFO; Revenue Department; District Collector,Private forest preservation violations; Illegal clearing; Encroachment disputes,Employment & Service Conditions
"Scheduled Tribes and Other Traditional Forest Dwellers Recognition of Forest Rights Act, 2006",Sub-Divisional Officer (SDO); DFO; Tribal Welfare Department,Recognition of forest land rights; Denial of land rights; Disputes over traditional usage,Employment & Service Conditions
"Wild Life (Protection) Amendment Act, 2006",Tamil Nadu Wildlife Warden; Chief Wildlife Warden; Forest Department,Poaching; Illegal hunting; Wildlife trade violations; Protected species protection,Employment & Service Conditions
"Tamil Nadu Forest Act, 1882 / TAMIL NADU FOREST ACT, 1882",DFO; Divisional Forest Officer; District Collector; Forest Department,Unauthorized logging; Encroachment; Illegal forest activities; Violations of forest rules,Employment & Service Conditions
Act Name,Authority to Approach,Typical Complaints / Requests,Employment & Service Conditions
"Biological Diversity Act, 2002",National Biodiversity Authority (NBA); State Biodiversity Board (SBB); District Biodiversity Management Committee (DBMC),Unauthorized use of biological resources; Biopiracy; Conservation of biodiversity; Benefit-sharing violations,Employment & Service Conditions
"Indian Forest Act, 1927",Divisional Forest Officer (DFO); Forest Range Officer; District Collector; Forest Department,Illegal logging; Encroachment; Forest land disputes; Violations of forest rules,Employment & Service Conditions
"Wild Life (Protection) Act, 1972",Chief Wildlife Warden; Wildlife Warden; Forest Department; Wildlife Crime Control Bureau,Poaching; Illegal hunting; Illegal trade of wildlife products; Protection of endangered species,Employment & Service Conditions
Act Name,Authority to Approach,Typical Complaints / Requests,Employment & Service Conditions
"The Tamil Nadu Laws (Special Provisions) No. 2 Act, 2010","Department of Law, TN Govt; District Collector; Respective Government Departments",Implementation issues; Government notifications; Administrative disputes under special provisions,Employment & Service Conditions
"The Tamil Nadu Laws (Special Provisions) Act, 2010","Department of Law, TN Govt; District Collector",Legal implementation disputes; Interpretation issues; Department-level complaints,Employment & Service Conditions
"The Tamil Nadu Laws (Special Provisions) Act, 2007","Department of Law, TN Govt; District Collector",Implementation of special provisions; Legal clarifications; Administrative complaints,Employment & Service Conditions
"The Tamil Nadu Metropolitan Planning Committee Act, 2009",Metropolitan Planning Committee (MPC); Municipal Corporation; Urban Development Department,Planning violations; Land use disputes; Urban development issues,Employment & Service Conditions
"The Tamil Nadu Apartment Ownership Act, 2022",Registrar of Apartment Ownership; Housing Department; Apartment Owners Association,Apartment registration issues; Ownership disputes; Maintenance/amenity complaints,Employment & Service Conditions
"The Tamil Nadu Regulation of Rights and Responsibilities of Landlords and Tenants Act, 2017",Rent Controller / Tribunal; Housing Department; Civil Court (if needed),Rent disputes; Eviction issues; Repair & maintenance complaints; Tenant/landlord rights violations,Employment & Service Conditions
"The Tamil Nadu Apartment Ownership Act, 1994",Registrar of Apartment Ownership; Housing Department; Apartment Owners Association,Registration of apartments; Ownership disputes; Common facility management complaints,Employment & Service Conditions
"The Tamil Nadu Slum Areas (Improvement and Clearance) Act, 1971",Tamil Nadu Urban Habitat Development Board (TNUHDB); District Housing Officer; Municipal Corporation,Slum redevelopment delays; Eviction/rehabilitation disputes; Housing allocation issues,Employment & Service Conditions
Act Name,Authority to Approach,Typical Complaints / Requests,Employment & Service Conditions
"The Tamil Nadu Inam Abolition Laws (Validation of Proceedings) Act, 1986",Revenue Department; District Collector; Taluk Office,Disputes on Inam land records; Validation of past land proceedings; Ownership and title disputes,Employment & Service Conditions
"Tamil Nadu Cultivating Tenants (Payment of Fair Rent) Act, 1956",Revenue Department; District Collector; Tahsildar / Sub-Registrar,Rent disputes between tenants and landlords; Non-payment of fair rent; Agricultural tenancy complaints,Employment & Service Conditions
"Tamil Nadu Urban Land Tax Act, 1966",Urban Local Body / Municipal Corporation; Revenue Department,Urban land tax disputes; Tax assessment issues; Payment or exemption complaints,Employment & Service Conditions
"Tamil Nadu Survey and Boundaries Act, 1923",Revenue Department; Taluk Office; Survey Officer,Boundary disputes; Land survey errors; Encroachment complaints,Employment & Service Conditions
"Tamil Nadu Cultivating Tenants Protection Act, 1955",Revenue Department; District Collector; Tahsildar,Eviction complaints; Tenant rights violations; Land ownership disputes,Employment & Service Conditions
"Tamil Nadu Patta Pass Book Act, 1983",Revenue Department; Taluk Office; Sub-Registrar,Patta issuance delays; Incorrect land records; Transfer or mutation disputes,Employment & Service Conditions
"Tamil Nadu Gudalur Janmam Estates (Abolition and Conversion into Ryotwari) Act, 1969",Revenue Department; District Collector; Tahsildar,Land ownership disputes; Conversion issues from Janmam to Ryotwari; Land record corrections,Employment & Service Conditions
"Tamil Nadu Public Trusts (Regulation of Administration of Agricultural Lands) Act, 1961",Public Trust Office; Revenue Department; District Collector,Mismanagement of agricultural trust lands; Lease disputes; Revenue or administration complaints,Employment & Service Conditions
Act Name,Authority to Approach,Typical Complaints / Requests,Employment & Service Conditions
"Tamil Nadu Special Police Youth Brigade Act, 2013",State Police Department; District Superintendent of Police (SP); Police Youth Wing,Recruitment or service disputes; Complaints about Youth Brigade activities; Misconduct or grievance redressal,Employment & Service Conditions
"Tamil Nadu Horse Race (Abolition of Turf Agencies) Act, 1979",Racing & Gambling Regulatory Authority; District Collector; Police Department,Illegal turf agencies; Horse race betting violations; Unauthorized betting operations,Employment & Service Conditions
"Tamil Nadu Prize Schemes (Prohibition) Act, 1979",Police Department; Department of Registration & Stamps; Excise & Prohibition Department,Illegal prize schemes; Lottery or contest violations; Consumer complaints about fraudulent schemes,Employment & Service Conditions
"Chennai City Police (Extension to the City of Tiruppur) Act, 2012 (Act 35 of 2012)",Chennai City Police; Tiruppur Police Commissionerate,Police jurisdiction disputes; Complaints about law enforcement; Public safety and policing issues,Employment & Service Conditions
"Tamil Nadu Prohibition of Online Gambling and Regulation of Online Games Act, 2022",Police Department; TN Gaming Regulatory Authority; Cyber Crime Unit,Online gambling violations; Illegal betting websites; Fraudulent online games; Consumer complaints,Employment & Service Conditions
"Chennai City Police (Extension to the cities of Avadi and Tambaram) Act, 2022",Chennai City Police; Avadi & Tambaram Police Commissionerates,Police jurisdiction issues; Public complaints on law enforcement; Policing and safety grievances,Employment & Service Conditions
Act Name,Authority to Approach,Typical Complaints / Requests,Employment & Service Conditions
"Tamil Nadu Sugar Cane Cess (Validation) Act, 1963",TN Department of Agriculture; Sugar Cane Commissionerate,Disputes on cess collection; Validation of sugarcane transactions; Payment delays,Employment & Service Conditions
"Tamil Nadu Agricultural Pest and Diseases Act, 1919",Agriculture Department; District Agriculture Officer,Pest/disease management issues; Farmer complaints; Quarantine violations,Employment & Service Conditions
"Tamil Nadu Agricultural University Act, 1971",University Registrar; Vice-Chancellor; College Principals,Academic complaints; Affiliation issues; Admission and examination disputes,Employment & Service Conditions
"Tamil Nadu Sugarcane (Regulation of Purchase Price) Act, 2018",TN Department of Agriculture; Sugarcane Commissioner,Disputes over purchase price; Payment delays; Pricing irregularities,Employment & Service Conditions
"Tamil Nadu Agricultural Produce Marketing Regulation Act, 1987",TN Agricultural Marketing Board; District Marketing Officer,Market price disputes; Licensing issues; Unfair trading practices,Employment & Service Conditions
"Tamil Nadu Public Service Commission (Additional Functions) Act, 2022","TN PSC; Secretary, Public Service Commission",Recruitment disputes; Examination grievances; Eligibility issues,Employment & Service Conditions
"Tamil Nadu Persons Studied in Tamil Medium Act, 2010",TN Higher Education Department; University Registrar,Reservation/eligibility issues; Admission disputes; Recognition complaints,Employment & Service Conditions
"Tamil Nadu Arunthathiyars Act, 2009",Backward Classes & Minorities Welfare Department; TN Educational Institutions,Reservation and quota issues; Admission disputes; Employment reservation complaints,Employment & Service Conditions
"Tamil Nadu Lokayukta Act, 2018",Lokayukta Office; Anti-Corruption Bureau,Corruption complaints; Administrative grievances; Malpractice reporting,Employment & Service Conditions
"Tamil Nadu Fiscal Responsibility Act, 2003",Finance Department; Accountant General,Government financial accountability; Budget compliance complaints,Employment & Service Conditions
"Tamil Nadu Local Fund Audit Act, 2014",TN Local Fund Audit Department; District Collector,Audit objections; Mismanagement of local funds; Compliance issues,Employment & Service Conditions
"Tamil Nadu Infrastructure Development Act, 2012",Infrastructure Department; Project Authority,Project disputes; Implementation delays; Land acquisition issues,Employment & Service Conditions
"Tamil Nadu Transparency in Tenders Act, 1998",TN Tendering Authority; Vigilance Department,Tender irregularities; Corruption in procurement; Contract disputes,Employment & Service Conditions
"Tamil Nadu Silkworm Seed (Production, Supply, Distribution) Act, 1956",Sericulture Department; District Sericulture Officer,Supply issues; Quality complaints; Distribution disputes,Employment & Service Conditions
"Tamil Nadu Palm Products Development Board Act, 1994",Palm Products Development Board; Agriculture Department,Board functioning complaints; Production and marketing issues,Employment & Service Conditions
"Tamil Nadu Handloom Workers Act, 1981",Labour Department; Handloom Welfare Board,Worker rights; Wage disputes; Employment conditions,Employment & Service Conditions
"Tamil Nadu Khadi and Village Industries Board Act, 1959",TN Khadi Board; District Industries Officer,Funding issues; Scheme disputes; Board administration complaints,Employment & Service Conditions
"Tamil Nadu Regulation of Jallikattu Act, 2009",Animal Husbandry Department; District Collector; Police,Jallikattu event regulations; Animal welfare complaints; Licensing issues,Employment & Service Conditions
"Tamil Nadu Bovine Breeding Act, 2019",Animal Husbandry Department; District Veterinary Officer,Breeding regulation violations; Animal welfare complaints; Licensing issues,Employment & Service Conditions
"Tamil Nadu Fisheries University Act, 2012",University Registrar; Vice-Chancellor; Fisheries Department,Academic complaints; Admission and affiliation disputes; Fisheries research issues,Employment & Service Conditions
"Tamil Nadu Value Added Tax (Special Provision) Act, 2010",Commercial Taxes Department; TN VAT Officer,VAT assessment disputes; Tax arrears; Refund complaints,Employment & Service Conditions
"Tamil Nadu Sales Tax (Settlement of Arrears) Act, 2011",Commercial Taxes Department; Settlement Officer,Tax arrears disputes; Payment issues; Compliance complaints,Employment & Service Conditions
"Tamil Nadu Document Writers' Welfare Fund Act, 2022",TN Document Writers Board; Welfare Department,Fund disbursement; Registration issues; Welfare complaints,Labour Welfare & Social Security
"Tamil Nadu Industrial Township Area Development Authority Act, 1997",Industries Department; District Collector,Township development disputes; Land acquisition; Infrastructure complaints,Employment & Service Conditions
"Tamil Nadu Special Economic Zones (Special Provisions) Act, 2005",Industries Department; SEZ Authority,SEZ approval issues; Land acquisition disputes; Project implementation complaints,Employment & Service Conditions
"Mines and Minerals (Development and Regulation) Act, 1957",Mines & Minerals Department; District Mining Officer,Mining lease disputes; Regulatory compliance; Environmental violations,Employment & Service Conditions
"Tamil Nadu Establishment of Private Law Colleges (Regulation) Act, 2018",Higher Education Department; University Registrar,Admission issues; Recognition disputes; Regulatory compliance,Employment & Service Conditions
"Tamil Nadu National Law University Act, 2012",University Registrar; Vice-Chancellor,Admission disputes; Academic complaints; Governance issues,Employment & Service Conditions
"Tamil Nadu Dr. Ambedkar Law University Act, 1996",University Registrar; Vice-Chancellor,Academic issues; Affiliation disputes; Examination complaints,Employment & Service Conditions
"Tamil Nadu Local Bodies Ombudsman Act, 2014",Ombudsman Office; Municipal Corporation,Grievances against local bodies; Administrative complaints; Corruption reporting,Employment & Service Conditions
"Tamil Nadu Local Authorities Entertainments Tax Act, 2017",Municipal Commissioner; Tax Department,Tax disputes; Compliance issues; Entertainment licensing complaints,Employment & Service Conditions
"Erode City Municipal Corporation Act, 2008",Municipal Commissioner; TN Urban Development Department,Civic complaints; Governance issues; Administrative disputes,Employment & Service Conditions
"Tamil Nadu Protection of Tanks and Eviction of Encroachment Act, 2007",Public Works Department; District Collector; Irrigation Department,Encroachment complaints; Tank protection issues; Water resource management,Employment & Service Conditions
"Tamil Nadu Public Works Engineering Corporation Ltd. Act, 1980",Public Works Department; TN PWD Corporation,Project disputes; Contractual issues; Infrastructure complaints,Employment & Service Conditions
"Parambikulam-Aliyar Project (Regulation of Water Supply) Act, 1993",Public Works Department; Irrigation Engineer; District Collector,Water allocation disputes; Supply issues; Irrigation complaints,Employment & Service Conditions
"Tamil Nadu State Minorities Commission Act, 2010",State Minorities Commission,Minority rights complaints; Discrimination issues; Welfare grievances,Employment & Service Conditions
"Tamil Nadu Vanniyakula Kshatriya Public Charitable Trusts and Endowments (Protection and Maintenance) Act, 2018",Charitable Trusts Department; District Collector,Trust mismanagement; Endowment disputes; Protection of assets,Employment & Service Conditions
"Tamil Nadu Highways Act, 2001",Highways Department; TN PWD; District Collector,Highway maintenance complaints; Construction disputes; Safety violations,Employment & Service Conditions
"Tamil Nadu Maritime Board Act, 1995",Maritime Board; Port Authority,Port development disputes; Licensing issues; Maritime safety complaints,Employment & Service Conditions
"Indian Telegraph Act, 1885 (Central Act)",Department of Telecommunications; TN Telecom Circle,Licensing disputes; Unauthorized installations; Telecom service complaints,Employment & Service Conditions
"Information Technology Act, 2000 (Central Act)",Cyber Crime Cell; TN IT Department,Cybercrime complaints; IT service violations; Online fraud,Employment & Service Conditions
"Tamil Nadu Non-Resident Tamils' Welfare Act, 2011",TN NRT Welfare Board; Welfare Department,Benefits and welfare disputes; Registration complaints; Implementation issues,Labour Welfare & Social Security
"Protection of Human Rights Act, 1993",TN Human Rights Commission,Human rights violations; Complaints against authorities; Legal remedies,Employment & Service Conditions
"Tamil Nadu Hindu Religious and Charitable Endowments Act, 1959",HR & CE Department; Commissioner of Religious Endowments,Temple administration complaints; Mismanagement of funds; Endowment disputes,Employment & Service Conditions
"Tamil Nadu Ancient and Historical Monuments and Archaeological Sites and Remains Act, 1966",Archaeology Department; TN Heritage Commissioner,Heritage conservation complaints; Unauthorized construction; Protection of monuments,Employment & Service Conditions
"Rights of Persons With Disabilities Act, 2016",Welfare Department; TN Commissioner for Differently Abled,Disability rights violations; Accessibility issues; Welfare benefit complaints,Employment & Service Conditions
"Tamil Nadu Payment of Salaries Act, 2023",Legislative Assembly; TN Finance Department,Delay/non-payment of salaries to government employees; Salary dispute complaints,Employment & Service Conditions
"Tamil Nadu Business Facilitation Act, 2018",MSME Department; TN Industries Department,Business registration issues; Compliance disputes; Facilitation of MSMEs,Employment & Service Conditions
Act Name,Authority to Approach,Typical Complaints / Requests,Employment & Service Conditions
"The Information Technology Act, 2000",Cyber Crime Police; Adjudicating Officer; CERT-In,Identity theft; Fake profiles; Unauthorized data usage,Employment & Service Conditions
"The Tamil Nadu Prohibition of Online Gambling and Regulation of Online Games Act, 2022",Cyber Crime Police; State Gaming Authority,Online betting fraud; Illegal gaming platforms; Financial scams,Employment & Service Conditions
"The Tamil Nadu Agricultural Produce Marketing Regulation Act, 1987",Market Committee; Department of Agriculture Marketing,Illegal trading practices; Price manipulation; Market fee disputes,Employment & Service Conditions
Act Name,Authority to Approach,Typical Complaints / Requests,Employment & Service Conditions
"The Tamil Nadu Local Fund Audit Act, 2014",Local Fund Audit Department; District Collector,Misuse of public funds; Financial irregularities; Audit objections,Employment & Service Conditions
"The Tamil Nadu Local Bodies Ombudsman Act, 2014",Local Bodies Ombudsman,Corruption in local bodies; Administrative negligence; Abuse of authority,Employment & Service Conditions
"The Information Technology Act, 2000",Cyber Crime Police; CERT-In; Adjudicating Officer,Cyber theft; Data theft; Online fraud; Hacking,Employment & Service Conditions
"The Tamil Nadu Maritime Board Act, 1995",Tamil Nadu Maritime Board; Port Authorities,Illegal port activities; Misuse of maritime resources; Regulatory violations,Employment & Service Conditions
Act Name,Authority to Approach,Typical Complaints / Requests,Employment & Service Conditions
"The Wild Life (Protection) Amendment Act, 2006",Forest Department; Wildlife Warden; Police,Illegal hunting; Poaching; Wildlife trade; Destruction of protected habitats,Employment & Service Conditions
"The Tamil Nadu Lokayukta Act, 2018",Lokayukta of Tamil Nadu,Corruption by public servants; Abuse of power; Maladministration,Employment & Service Conditions
"The Tamil Nadu Government Servants (Conditions of Service) Act, 2016",Departmental Authority; Administrative Tribunal; State Government,Service condition disputes; Promotion issues; Disciplinary action challenges,Employment & Service Conditions
"The Tamil Nadu Slum Areas (Improvement and Clearance) Act, 1971",Tamil Nadu Slum Clearance Board; Local Municipal Authority,Unsafe living conditions; Eviction issues; Lack of basic amenities,Employment & Service Conditions
Bharatiya Nyaya Sanhita (Theft Provisions),Local Police Station; SHO,Theft of mobile phone; stolen wallet; lost valuables; pickpocketing in public places,Employment & Service Conditions
Bharatiya Nyaya Sanhita (Criminal Breach of Trust),Local Police Station; SHO,Property misused by trusted person; employer misusing employee assets,Employment & Service Conditions
Bharatiya Nyaya Sanhita (Cheating and Fraud),Local Police Station; Economic Offences Wing,Cheating; financial fraud; false promises; money taken without service,Employment & Service Conditions
"Information Technology Act, 2000",Cyber Crime Cell; Online Cyber Crime Portal,Online fraud; hacking; phishing; OTP scam; fake websites,Employment & Service Conditions
Railway Act / Railway Property Act,Railway Police (RPF/GRP),Theft at railway station; lost mobile in train; stolen luggage,Employment & Service Conditions
"Consumer Protection Act, 2019",District Consumer Disputes Redressal Commission,Defective products; service deficiency; online shopping fraud,Employment & Service Conditions
"Motor Vehicles Act, 1988",Traffic Police; Motor Accident Claims Tribunal,Hit and run cases; road accidents; compensation claims,Employment & Service Conditions
"Protection of Women from Domestic Violence Act, 2005",Protection Officer; Magistrate Court,Domestic abuse; harassment at home; physical or mental cruelty,Employment & Service Conditions
Sexual Harassment of Women at Workplace Act,Internal Complaints Committee; Labour Officer,Workplace harassment; inappropriate behavior; unsafe work environment,Employment & Service Conditions
"Indian Contract Act, 1872",Civil Court; Legal Services Authority,Breach of contract; non-fulfillment of agreement; contract violation,Employment & Service Conditions
Public Grievance Redressal Rules,Concerned Government Department; CPGRAMS,Delay in government services; harassment by officials,Employment & Service Conditions
